id,startdate,enddate,Price,machine_id,isrenewed
743,2019-02-04,2020-02-04,1280,415,0
744,2019-02-11,2020-02-11,1280,416,0
745,2019-03-19,2020-03-18,1280,417,0
746,2019-05-07,2020-05-06,1280,418,0
747,2019-03-22,2020-03-21,1280,419,0
748,2019-05-22,2020-05-21,1280,420,0
749,2019-03-18,2020-03-17,1280,421,0
750,2019-03-18,2020-03-17,1280,422,0
751,2019-03-25,2020-03-24,1280,423,0
752,2019-05-03,2020-05-02,1280,424,0
753,2019-04-29,2020-04-28,1280,425,0
754,2019-04-23,2020-04-22,1280,426,0
755,2019-06-06,2020-06-05,1280,427,0
756,2019-05-17,2020-05-16,1280,428,0
757,2019-05-22,2020-05-21,1280,429,0
758,2019-05-21,2020-05-20,1280,430,0
760,2019-05-31,2020-05-30,1280,432,0
761,2019-06-17,2020-06-16,1280,433,0
762,2019-06-06,2020-06-05,1280,434,0
763,2019-06-27,2020-06-26,1280,435,0
764,2019-07-03,2020-07-02,1280,436,0
765,2019-06-26,2020-06-25,1280,437,0
766,2019-06-20,2020-06-19,1280,438,0
767,2012-12-31,2013-12-31,1280,439,0
768,2012-03-31,2013-03-31,1280,440,0
769,2012-03-31,2013-03-31,1280,441,0
770,2012-03-31,2013-03-31,1280,442,0
771,2012-03-31,2013-03-31,1280,443,0
772,2012-03-31,2013-03-31,1280,444,0
773,2012-03-31,2013-03-31,1280,445,0
774,2012-06-04,2013-06-04,1280,446,0
775,2013-02-06,2014-02-06,1280,447,0
776,2013-04-23,2014-04-23,1280,448,0
777,2013-08-22,2014-08-22,1280,449,0
778,2014-05-02,2015-05-02,1280,450,0
779,2018-04-30,2019-04-30,1280,451,0
780,2018-04-30,2019-04-30,1280,452,0
781,2014-06-10,2015-06-10,1280,453,0
782,2014-07-10,2015-07-10,1280,454,0
783,2014-10-22,2015-10-22,1280,455,0
784,2013-10-24,2014-10-24,1280,456,0
785,2013-10-24,2014-10-24,1280,457,0
786,2015-02-12,2016-02-12,1280,458,0
787,2019-08-06,2020-08-05,1280,459,0
788,2019-08-06,2020-08-05,1280,460,0
789,2015-02-28,2016-02-28,1280,461,0
790,2015-08-28,2016-08-27,1280,462,0
791,2015-08-03,2016-08-02,1280,463,0
792,2018-10-29,2019-10-28,1780,468,1
794,2019-08-25,2020-08-24,1780,504,0
795,2019-08-21,2019-08-21,2980,504,0
796,2019-09-25,2020-09-24,1780,505,0
797,2019-09-17,2020-09-16,1780,84,0
798,2019-09-04,2020-09-03,1680,506,0
799,2019-09-17,2020-09-16,1680,507,0
800,2019-09-14,2020-09-13,1780,83,0
801,2019-09-11,2020-09-10,1780,82,0
802,2019-09-10,2020-09-09,1780,508,0
803,2019-09-11,2020-09-10,1680,81,0
804,2019-09-11,2020-09-10,1680,509,0
805,2019-09-04,2020-09-03,1780,80,0
806,2019-09-12,2020-09-11,2180,510,0
807,2019-09-07,2020-09-06,1680,511,0
808,2019-09-08,2020-09-07,1780,310,0
809,2019-09-28,2020-09-27,1780,318,0
810,2019-09-27,2020-09-26,1780,316,0
811,2019-09-22,2020-09-21,1780,312,0
812,2019-09-22,2020-09-21,1780,313,0
813,2019-09-22,2020-09-21,1780,314,0
814,2019-09-22,2020-09-21,1780,315,0
815,2019-09-22,2020-09-21,1780,311,0
817,2019-09-08,2020-09-07,1780,309,0
818,2019-09-08,2020-09-07,1780,513,0
819,2019-09-14,2020-09-13,1780,178,0
820,2019-09-12,2020-09-11,1780,179,0
821,2019-09-06,2020-09-05,1780,514,0
822,2019-09-27,2020-09-26,1780,177,0
823,2019-09-27,2020-09-26,1780,182,0
824,2019-09-27,2020-09-26,1780,515,0
825,2019-09-27,2020-09-26,1780,516,0
826,2019-09-27,2020-09-26,1780,517,0
827,2019-09-23,2020-09-22,1780,181,0
828,2019-09-05,2020-09-04,1780,167,0
830,2019-01-09,2020-01-08,1780,217,0
831,2019-08-25,2020-08-24,1780,161,0
832,2019-08-01,2020-07-31,1680,518,0
833,2019-09-04,2020-09-03,1780,80,0
834,2019-09-12,2020-08-11,1680,527,0
835,2019-09-03,2020-09-02,1780,368,0
836,2019-09-30,2020-09-29,1980,555,0
839,2019-10-17,2020-10-17,1980,7,0
842,2019-06-03,2019-11-17,580,5,0
843,2016-11-30,2017-11-29,2480,101,1
844,2017-11-30,2018-11-29,2480,101,1
845,2012-04-14,2013-04-13,1280,9,1
846,2019-12-18,2020-12-17,1780,103,0
847,2019-12-30,2020-12-29,1780,104,0
848,2019-12-11,2020-12-10,1780,404,1
849,2020-04-15,2021-04-07,1980,645,1
