id,casetype,scheduledate,time,action,suggest,comment,iscompleted,customer_id,handledby_id,,
190,Filter replacement,2017-12-06,10:00:00,,,,1,295,1,,
191,Filter replacement,2018-06-05,10:00:00,,,,1,295,1,,
192,Filter replacement,2018-06-05,10:00:00,,,,1,295,1,,
193,Filter replacement,2018-06-15,10:00:00,,,,1,298,1,,
194,Filter replacement,2017-12-05,10:00:00,,,,1,300,1,,
195,Filter replacement,2018-06-13,10:00:00,,,,1,301,1,,
196,Filter replacement,2018-06-13,10:00:00,,,,1,302,1,,
197,Filter replacement,2018-07-20,10:00:00,,,,1,305,1,,
198,Filter replacement,2018-06-11,10:00:00,,,,1,306,1,,
199,Filter replacement,2018-06-13,10:00:00,,,,1,307,1,,
200,Filter replacement,2018-06-29,10:00:00,,,,1,308,1,,
201,Filter replacement,2018-07-12,10:00:00,,,,1,309,1,,
202,Filter replacement,2018-06-29,10:00:00,,,,1,310,1,,
203,Filter replacement,2017-08-02,10:00:00,,,,1,312,1,,
204,Filter replacement,2017-02-13,10:00:00,,,,1,312,1,,
205,Filter replacement,2017-02-07,10:00:00,,,,1,313,1,,
206,Installatoin,2016-08-03,10:00:00,,,,1,313,1,,
207,Filter replacement,2017-02-08,10:00:00,,,,1,314,1,,
208,Filter replacement,2018-08-14,10:00:00,,,,1,314,1,,
209,Installatoin,2016-08-03,10:00:00,,,,1,314,1,,
210,Checking ,2017-08-08,10:00:00,,,,1,314,1,,
211,Filter replacement,2017-08-14,10:00:00,,,,1,315,1,,
212,Filter replacement,2017-02-08,10:00:00,,,,1,315,1,,
213,Installatoin,2016-08-09,10:00:00,,,,1,315,1,,
214,Filter replacement,2017-08-03,10:00:00,,,,1,316,1,,
215,Filter replacement,2017-08-03,10:00:00,,,,1,316,1,,
216,Filter replacement,2017-02-15,10:00:00,,,,1,316,1,,
217,Filter replacement,2017-02-15,10:00:00,,,,1,316,1,,
218,Installatoin,2016-08-29,10:00:00,,,,1,316,1,,
219,Installatoin,2016-08-29,10:00:00,,,,1,316,1,,
220,Urgent Repair,2017-04-20,10:00:00,,,,1,316,1,,
221,Urgent Repair,2016-12-15,10:00:00,,,,1,316,1,,
222,Urgent Repair,2016-12-15,10:00:00,,,,1,316,1,,
223,Filter replacement,2017-07-31,10:00:00,,,,1,317,1,,
224,Filter replacement,2017-07-31,10:00:00,,,,1,317,1,,
225,Filter replacement,2017-02-07,10:00:00,,,,1,317,1,,
226,Filter replacement,2017-02-07,10:00:00,,,,1,317,1,,
227,Installatoin,2017-08-25,10:00:00,,,,1,317,1,,
228,Installatoin,2017-08-25,10:00:00,,,,1,317,1,,
229,Filter replacement,2017-08-01,10:00:00,,,,1,319,1,,
230,Filter replacement,2017-02-14,10:00:00,,,,1,319,1,,
231,Installatoin,2016-08-15,10:00:00,,,,1,319,1,,
232,Urgent Repair,2017-08-08,10:00:00,,,,1,319,1,,
233,Checking ,2017-08-12,10:00:00,,,,1,319,1,,
